Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status,
ACAD-1000,Acadia National Park,Mammal,Artiodactyla,Cervidae,Alces alces,Moose,Approved,Present,Native,Rare,Resident,,
ACAD-1001,Acadia National Park,Mammal,Artiodactyla,Cervidae,Odocoileus virginianus,"Northern White-Tailed Deer, Virginia Deer, White-Tailed Deer",Approved,Present,Native,Abundant,,,
ACAD-1002,Acadia National Park,Mammal,Carnivora,Canidae,Canis latrans,"Coyote, Eastern Coyote",Approved,Present,Not Native,Common,,Species of Concern,
ACAD-1003,Acadia National Park,Mammal,Carnivora,Canidae,Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",Approved,Not Confirmed,Native,,,Endangered,
ACAD-1004,Acadia National Park,Mammal,Carnivora,Canidae,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",Approved,Present,Unknown,Common,Breeder,,
ACAD-1005,Acadia National Park,Mammal,Carnivora,Felidae,Lynx canadensis,Canada Lynx,Approved,Not Confirmed,Native,,,,
ACAD-1006,Acadia National Park,Mammal,Carnivora,Felidae,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",Approved,Not Present (Historical Report),Not Native,,Vagrant,,
ACAD-1007,Acadia National Park,Mammal,Carnivora,Mephitidae,Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",Approved,Not Present (Historical Report),Native,,,,
ACAD-1008,Acadia National Park,Mammal,Carnivora,Mustelidae,Lutra canadensis,"Otter, River Otter",Approved,Present,Native,Common,Breeder,,
ACAD-1009,Acadia National Park,Mammal,Carnivora,Mustelidae,Martes pennanti,"Blackcat, Fisher, Pekan",Approved,Present,Native,Rare,,,
ACAD-1010,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela,Weasel,In Review,Not Confirmed,Unknown,,,,
ACAD-1011,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-Tailed Weasel",Approved,Present,Native,Uncommon,,,
ACAD-1012,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela frenata,"Long-Tailed Weasel, New York Weasel, Northern Long-Tailed Weasel",Approved,Present,Native,Uncommon,,,
ACAD-1013,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",Approved,Not Confirmed,Native,,,,
ACAD-1014,Acadia National Park,Mammal,Carnivora,Mustelidae,Mustela vison,"American Mink, Mink",Approved,Present,Native,Uncommon,,,
ACAD-1015,Acadia National Park,Mammal,Carnivora,Odobenidae,Odobenus rosmarus,Walrus,Approved,Not Confirmed,Not Native,,,,
ACAD-1016,Acadia National Park,Mammal,Carnivora,Phocidae,Halichoerus grypus,Gray Seal,Approved,Not Confirmed,Native,,,,
ACAD-1017,Acadia National Park,Mammal,Carnivora,Phocidae,Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",Approved,Not Confirmed,Native,,,,
ACAD-1018,Acadia National Park,Mammal,Carnivora,Procyonidae,Procyon lotor,"Common Raccoon, Raccoon",Approved,Present,Native,Common,,,
ACAD-1019,Acadia National Park,Mammal,Carnivora,Ursidae,Ursus americanus,Black Bear,Approved,Present,Native,Occasional,,,
ACAD-1020,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Eptesicus fuscus,"Big Brown Bat, Common Brown Bat",Approved,Present,Native,Uncommon,,Species of Concern,
ACAD-1021,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasionycteris noctivagans,Silver-Haired Bat,Approved,Present,Native,Unknown,,Species of Concern,
ACAD-1022,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus borealis,"Eastern Red Bat, New York Bat, Northern Red Bat, Red Bat",Approved,Present,Native,Occasional,Migratory,,
ACAD-1023,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Lasiurus cinereus,Hoary Bat,Approved,Present,Native,Unknown,,,
ACAD-1024,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis keenii,"Keen's Myotis, Northern Long-Eared Bat, Northern Myotis, Say's Bat",Approved,Present,Native,Common,,Species of Concern,
ACAD-1025,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis leibii,"Eastern Small-Footed Myotis, Small-Footed Myotis",Approved,Not Present (Historical Report),Native,,,Species of Concern,
ACAD-1026,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Myotis lucifugus,"Little Brown Bat, Little Brown Myotis",Approved,Present,Native,Common,,Species of Concern,
ACAD-1027,Acadia National Park,Mammal,Chiroptera,Vespertilionidae,Pipistrellus subflavus,"Eastern Pipistrelle, Northern Georgian Bat",Approved,Not Present (False Report),Not Native,,,,
ACAD-1028,Acadia National Park,Mammal,Lagomorpha,Leporidae,Lepus americanus,"Snowshoe Hare, Varying Hare",Approved,Present,Native,Common,Breeder,,
ACAD-1029,Acadia National Park,Mammal,Rodentia,Castoridae,Castor canadensis,"American Beaver, Beaver, Canadian Beaver",Approved,Present,Not Native,Common,Breeder,,
ACAD-1030,Acadia National Park,Mammal,Rodentia,Cricetidae,Clethrionomys gapperi,"Boreal Redback Vole, Red-Backed Mouse, Red-Backed Vole, Southern Red-Backed Vole, White-Mountain Red-Backed Mouse",Approved,Present,Native,Common,Breeder,,
ACAD-1031,Acadia National Park,Mammal,Rodentia,Cricetidae,Microtus pennsylvanicus,"Field Mouse, Meadow Mouse, Meadow Vole",Approved,Not Present (Historical Report),Native,,Breeder,,
ACAD-1032,Acadia National Park,Mammal,Rodentia,Cricetidae,Ondatra zibethicus,"Common Muskrat, Muskrat, Musquash, Water Rat",Approved,Not Present (Historical Report),Native,,,,
ACAD-1033,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus leucopus,White-Footed Mouse,Approved,Present,Native,Common,Breeder,,
ACAD-1034,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,Deer Mouse,Approved,Present,Native,Abundant,Breeder,,
ACAD-1035,Acadia National Park,Mammal,Rodentia,Cricetidae,Synaptomys cooperi,"Cooper Lemming Mouse, Southern Bog Lemming",Approved,Present,Native,Rare,Breeder,,
ACAD-1036,Acadia National Park,Mammal,Rodentia,Dipodidae,Napaeozapus insignis,Woodland Jumping Mouse,Approved,Present,Native,Rare,Breeder,,
ACAD-1037,Acadia National Park,Mammal,Rodentia,Dipodidae,Zapus hudsonius,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1038,Acadia National Park,Mammal,Rodentia,Erethizontidae,Erethizon dorsatum,"Hedgehog, Porcupine",Approved,Present,Not Native,Common,Breeder,,
ACAD-1039,Acadia National Park,Mammal,Rodentia,Muridae,Mus musculus,House Mouse,Approved,Not Present (Historical Report),Not Native,,,,
ACAD-1040,Acadia National Park,Mammal,Rodentia,Muridae,Rattus norvegicus,"Brown Rat, Norway Rat",Approved,Not Confirmed,Not Native,,,,
ACAD-1041,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys,Glaucomys Sp.,In Review,Not Confirmed,Not Native,,,,
ACAD-1042,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys sabrinus,"Mearns Flying Squirrel, Northern Flying Squirrel",Approved,Present,Native,Common,Breeder,,
ACAD-1043,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys volans,Southern Flying Squirrel,Approved,Not Confirmed,Not Native,,,,
ACAD-1044,Acadia National Park,Mammal,Rodentia,Sciuridae,Marmota monax,"Groundhog, New England Woodchuck, Woodchuck",Approved,Present,Not Native,Common,Breeder,,
ACAD-1045,Acadia National Park,Mammal,Rodentia,Sciuridae,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel",Approved,Present,Not Native,Common,,,
ACAD-1046,Acadia National Park,Mammal,Rodentia,Sciuridae,Tamias striatus,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk",Approved,Present,Native,Abundant,Breeder,,
ACAD-1047,Acadia National Park,Mammal,Rodentia,Sciuridae,Tamiasciurus hudsonicus,"Chickaree, Red Squirrel",Approved,Present,Native,Common,Breeder,,
ACAD-1048,Acadia National Park,Mammal,Soricomorpha,Soricidae,Blarina brevicauda,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1049,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex cinereus,Masked Shrew,Approved,Present,Native,Abundant,Breeder,,
ACAD-1050,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex fumeus,"Northern Smoky Shrew, Smoky Shrew",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1051,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex hoyi,"Hoy's Pygmy Shrew, Pygmy Shrew, Thompson's Pygmy Shrew",Approved,Present,Native,Common,,,
ACAD-1052,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex palustris,"Northern Water Shrew, Water Shrew, White-Lipped Water Shrew",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1053,Acadia National Park,Mammal,Soricomorpha,Talpidae,Condylura cristata,Star-Nosed Mole,Approved,Present,Native,Common,Breeder,,
ACAD-1054,Acadia National Park,Mammal,Soricomorpha,Talpidae,Parascalops breweri,"Brewer's Mole, Hairy-Tailed Mole",Approved,Not Confirmed,Native,,,,
ACAD-1055,Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter cooperii,Cooper's Hawk,Approved,Present,Native,Uncommon,,Species of Concern,
ACAD-1056,Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter gentilis,"Eastern Goshawk, Goshawk, Northern Goshawk",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1057,Acadia National Park,Bird,Accipitriformes,Accipitridae,Accipiter striatus,"Northern Sharp-Shinned Hawk, Sharp-Shinned Hawk",Approved,Present,Native,Common,Breeder,Species of Concern,
ACAD-1058,Acadia National Park,Bird,Accipitriformes,Accipitridae,Aquila chrysaetos,"American Golden Eagle, Golden Eagle",Approved,Present,Native,Occasional,Vagrant,Species of Concern,
ACAD-1059,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo jamaicensis,"Eastern Red-Tailed Hawk, Red-Tailed Hawk",Approved,Present,Native,Common,Breeder,,
ACAD-1060,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo lagopus,"American Rough-Legged Hawk, Rough-Legged Hawk",Approved,Present,Native,Uncommon,Resident,Species of Concern,
ACAD-1061,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo lineatus,"Northern Red-Shouldered Hawk, Red-Shouldered Hawk",Approved,Present,Native,Occasional,Migratory,Species of Concern,
ACAD-1062,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo platypterus,"Broad-Winged Hawk, Northern Broad-Winged Hawk",Approved,Present,Native,Common,Breeder,,
ACAD-1063,Acadia National Park,Bird,Accipitriformes,Accipitridae,Buteo swainsoni,Swainson's Hawk,Approved,Not Confirmed,Unknown,,,,
ACAD-1064,Acadia National Park,Bird,Accipitriformes,Accipitridae,Circus cyaneus,"American Marsh Hawk, Marsh Hawk, Northern Harrier",Approved,Present,Native,Uncommon,Breeder,Species of Concern,
ACAD-1065,Acadia National Park,Bird,Accipitriformes,Accipitridae,Haliaeetus leucocephalus,"Bald Eagle, Northern Bald Eagle",Approved,Present,Native,Common,Breeder,In Recovery,
ACAD-1066,Acadia National Park,Bird,Accipitriformes,Cathartidae,Cathartes aura,"Eastern Turkey Vulture, Turkey Vulture",Approved,Present,Native,Common,,Species of Concern,
ACAD-1067,Acadia National Park,Bird,Accipitriformes,Pandionidae,Pandion haliaetus,"American Osprey, Fish Hawk, Osprey",Approved,Present,Native,Common,,Species of Concern,
ACAD-1068,Acadia National Park,Bird,Anseriformes,Anatidae,Aix sponsa,Wood Duck,Approved,Present,Native,Common,Breeder,,
ACAD-1069,Acadia National Park,Bird,Anseriformes,Anatidae,Anas acuta,"American Pintail, Northern Pintail, Pintail",Approved,Present,Native,Rare,Migratory,,
ACAD-1070,Acadia National Park,Bird,Anseriformes,Anatidae,Anas americana,"American Wigeon, Baldpate",Approved,Present,Native,Uncommon,Migratory,,
ACAD-1071,Acadia National Park,Bird,Anseriformes,Anatidae,Anas clypeata,"Northern Shoveler, Shoveller",Approved,Not Confirmed,Native,,Migratory,,
ACAD-1072,Acadia National Park,Bird,Anseriformes,Anatidae,Anas crecca,Green-Winged Teal,Approved,Present,Native,Common,Breeder,,
ACAD-1073,Acadia National Park,Bird,Anseriformes,Anatidae,Anas discors,Blue-Winged Teal,Approved,Present,Native,Uncommon,Breeder,,
ACAD-1074,Acadia National Park,Bird,Anseriformes,Anatidae,Anas penelope,"Eurasian Wigeon, European Widgeon, Widgeon",Approved,Present,Not Native,Unknown,Vagrant,,
ACAD-1075,Acadia National Park,Bird,Anseriformes,Anatidae,Anas platyrhynchos,"Common Mallard, Mallard",Approved,Present,Unknown,Common,Breeder,,
ACAD-1076,Acadia National Park,Bird,Anseriformes,Anatidae,Anas rubripes,"American Black Duck, Black Duck, Common Black Duck, Red-Legged Black Duck",Approved,Present,Native,Abundant,Breeder,,
ACAD-1077,Acadia National Park,Bird,Anseriformes,Anatidae,Anas strepera,Gadwall,Approved,Present,Not Native,Unknown,Vagrant,,
ACAD-1078,Acadia National Park,Bird,Anseriformes,Anatidae,Anser albifrons,"Common White-Fronted Goose, Greater White-Fronted Goose",Approved,Present,Unknown,Occasional,Vagrant,,
ACAD-1079,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya affinis,"Lesser Scaup, Lesser Scaup Duck",Approved,Not Confirmed,Unknown,,Migratory,Species of Concern,
ACAD-1080,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya americana,Redhead,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1081,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya collaris,Ring-Necked Duck,Approved,Present,Native,Common,Breeder,,
ACAD-1082,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya marila,"Greater Scaup, Greater Scaup Duck",Approved,Present,Native,Common,Resident,,
ACAD-1083,Acadia National Park,Bird,Anseriformes,Anatidae,Aythya valisineria,Canvasback,Approved,Present,Not Native,Occasional,Vagrant,,
ACAD-1084,Acadia National Park,Bird,Anseriformes,Anatidae,Branta bernicla,"American Brant, Brant",Approved,Not Confirmed,Native,,Migratory,,
ACAD-1085,Acadia National Park,Bird,Anseriformes,Anatidae,Branta canadensis,"Canada Goose, Eastern Canada Goose",Approved,Present,Unknown,Common,,,
ACAD-1086,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala albeola,"Bufflehead, Buffle-Head",Approved,Present,Native,Abundant,Resident,,
ACAD-1087,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala clangula,"American Golden-Eye, Common Goldeneye",Approved,Present,Native,Common,Resident,,
ACAD-1088,Acadia National Park,Bird,Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,Approved,Not Confirmed,Unknown,,,,
ACAD-1089,Acadia National Park,Bird,Anseriformes,Anatidae,Camptorhynchus labradorius,Labrador Duck,Approved,Not Confirmed,Native,,,,
ACAD-1090,Acadia National Park,Bird,Anseriformes,Anatidae,Chen caerulescens,"Blue Goose, Snow Goose",Approved,Present,Native,Occasional,Vagrant,,
ACAD-1091,Acadia National Park,Bird,Anseriformes,Anatidae,Clangula hyemalis,"Long-Tailed Duck, Old Squaw, Oldsquaw",Approved,Not Confirmed,Native,,Resident,,
ACAD-1092,Acadia National Park,Bird,Anseriformes,Anatidae,Cygnus columbianus,"Tundra Swan, Whistling Swan",Approved,Not Confirmed,Unknown,,Vagrant,,
ACAD-1093,Acadia National Park,Bird,Anseriformes,Anatidae,Histrionicus histrionicus,"Eastern Harlequin Duck, Harlequin Duck",Approved,Present,Native,Common,Resident,,
ACAD-1094,Acadia National Park,Bird,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,Approved,Present,Native,Uncommon,Breeder,,
ACAD-1095,Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta fusca,"Eastern White-Winged Scoter, White-Winged Coot, White-Winged Scoter",Approved,Not Confirmed,Native,,Resident,,
ACAD-1096,Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta nigra,"American Common Scoter, American Scoter, Black Scoter, Butter-Bill, Common Scoter",Approved,Not Confirmed,Native,,Resident,,
ACAD-1097,Acadia National Park,Bird,Anseriformes,Anatidae,Melanitta perspicillata,Surf Scoter,Approved,Not Confirmed,Native,,Resident,,
ACAD-1098,Acadia National Park,Bird,Anseriformes,Anatidae,Mergus merganser,"American Merganser, Common Merganser",Approved,Present,Native,Uncommon,Breeder,,
ACAD-1099,Acadia National Park,Bird,Anseriformes,Anatidae,Mergus serrator,Red-Breasted Merganser,Approved,Present,Native,Common,Breeder,,
ACAD-1100,Acadia National Park,Bird,Anseriformes,Anatidae,Oxyura jamaicensis,"Northern Ruddy Duck, Ruddy Duck",Approved,Not Confirmed,Unknown,,Migratory,,
ACAD-1101,Acadia National Park,Bird,Anseriformes,Anatidae,Somateria mollissima,"American Eider, Common Eider, Eider Duck, Northern Eider",Approved,Present,Native,Abundant,Resident,,
ACAD-1102,Acadia National Park,Bird,Anseriformes,Anatidae,Somateria spectabilis,King Eider,Approved,Not Confirmed,Unknown,,Vagrant,,
ACAD-1103,Acadia National Park,Bird,Apodiformes,Apodidae,Chaetura pelagica,Chimney Swift,Approved,Present,Native,Common,,,
ACAD-1104,Acadia National Park,Bird,Apodiformes,Trochilidae,Archilochus colubris,Ruby-Throated Hummingbird,Approved,Present,Native,Common,,,
ACAD-1105,Acadia National Park,Bird,Apodiformes,Trochilidae,Selasphorus rufus,Rufous Hummingbird,Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern,
ACAD-1106,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus carolinensis,Chuck-Will's-Widow,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1107,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Caprimulgus vociferus,"Eastern Whip-Poor-Will, Whip-Poor-Will",Approved,Present,Native,Common,Breeder,,
ACAD-1108,Acadia National Park,Bird,Caprimulgiformes,Caprimulgidae,Chordeiles minor,"Common Nighthawk, Eastern Nighthawk",Approved,Present,Native,Common,Breeder,,
ACAD-1109,Acadia National Park,Bird,Charadriiformes,Alcidae,Alca torda,"Northern Razor-Billed Auk, Razorbill",Approved,Not Confirmed,Unknown,,,,
ACAD-1110,Acadia National Park,Bird,Charadriiformes,Alcidae,Alle alle,"Common Dovekie, Dovekie",Approved,Not Confirmed,Unknown,,,,
ACAD-1111,Acadia National Park,Bird,Charadriiformes,Alcidae,Cepphus grylle,"Black Guillemot, Sea Pigeon, Southern Black Guillemot",Approved,Present,Native,Common,Breeder,,
ACAD-1112,Acadia National Park,Bird,Charadriiformes,Alcidae,Fratercula arctica,Atlantic Puffin,Approved,Not Confirmed,Unknown,,Resident,Species of Concern,
ACAD-1113,Acadia National Park,Bird,Charadriiformes,Alcidae,Pinguinus impennis,Great Auk,Approved,Not Present (Historical Report),Native,,,,
ACAD-1114,Acadia National Park,Bird,Charadriiformes,Alcidae,Uria aalge,"Atlantic Murre, Common Murre",Approved,Not Present (Historical Report),Native,,Resident,,
ACAD-1115,Acadia National Park,Bird,Charadriiformes,Alcidae,Uria lomvia,"Brunnich's Murre, Brunnich's Thick-Billed Murre, Thick-Billed Murre",Approved,Not Confirmed,Native,,Resident,,
ACAD-1116,Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius melodus,"Eastern Piping Plover, Piping Plover",Approved,Not Confirmed,Native,,Migratory,Threatened,
ACAD-1117,Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius semipalmatus,"Ringed Plover, Semipalmated Plover, Semipalmated Ringed Plover",Approved,Not Confirmed,Native,,Migratory,,
ACAD-1118,Acadia National Park,Bird,Charadriiformes,Charadriidae,Charadrius vociferus,"Killdeer, Northern Killdeer",Approved,Present,Native,Common,,,
ACAD-1119,Acadia National Park,Bird,Charadriiformes,Charadriidae,Pluvialis dominica,"American Golden Plover, American Golden-Plover, Eastern American Golden Plover",Approved,Not Confirmed,Native,,Migratory,,
ACAD-1120,Acadia National Park,Bird,Charadriiformes,Charadriidae,Pluvialis squatarola,Black-Bellied Plover,Approved,Present,Native,Common,Migratory,,
ACAD-1121,Acadia National Park,Bird,Charadriiformes,Haematopodidae,Haematopus palliatus,"American Oystercatcher, Eastern American Oystercatcher",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern,
ACAD-1122,Acadia National Park,Bird,Charadriiformes,Laridae,Chlidonias niger,"American Black Tern, Black Tern",Approved,Not Confirmed,Native,,Migratory,Species of Concern,
ACAD-1123,Acadia National Park,Bird,Charadriiformes,Laridae,Larus argentatus,"American Herring Gull, Herring Gull",Approved,Present,Native,Abundant,Resident,,
ACAD-1124,Acadia National Park,Bird,Charadriiformes,Laridae,Larus atricilla,Laughing Gull,Approved,Present,Native,Common,Resident,Species of Concern,
ACAD-1125,Acadia National Park,Bird,Charadriiformes,Laridae,Larus delawarensis,Ring-Billed Gull,Approved,Present,Native,Common,Resident,,
ACAD-1126,Acadia National Park,Bird,Charadriiformes,Laridae,Larus fuscus,Lesser Black-Backed Gull,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1127,Acadia National Park,Bird,Charadriiformes,Laridae,Larus glaucoides,"Eastern Iceland Gull, Iceland Gull",Approved,Not Confirmed,Native,,Resident,,
ACAD-1128,Acadia National Park,Bird,Charadriiformes,Laridae,Larus hyperboreus,"Eastern Glaucous Gull, Glaucous Gull",Approved,Not Confirmed,Native,,Resident,,
ACAD-1129,Acadia National Park,Bird,Charadriiformes,Laridae,Larus marinus,Great Black-Backed Gull,Approved,Present,Native,Abundant,Resident,,
ACAD-1130,Acadia National Park,Bird,Charadriiformes,Laridae,Larus minutus,Little Gull,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1131,Acadia National Park,Bird,Charadriiformes,Laridae,Larus philadelphia,Bonaparte's Gull,Approved,Not Confirmed,Native,,Resident,,
ACAD-1132,Acadia National Park,Bird,Charadriiformes,Laridae,Larus pipixcan,Franklin's Gull,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1133,Acadia National Park,Bird,Charadriiformes,Laridae,Larus ridibundus,"Black-Headed Gull, Western Black-Headed Gull",Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1134,Acadia National Park,Bird,Charadriiformes,Laridae,Pagophila eburnea,Ivory Gull,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1135,Acadia National Park,Bird,Charadriiformes,Laridae,Rissa tridactyla,"Atlantic Kittiwake, Black-Legged Kittiwake",Approved,Not Confirmed,Native,,Resident,,
ACAD-1136,Acadia National Park,Bird,Charadriiformes,Laridae,Rynchops niger,"Black Skimmer, Northern Black Skimmer",Approved,Not Confirmed,Not Native,,Vagrant,Species of Concern,
ACAD-1137,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna antillarum,"Eastern Least Tern, Least Tern",Approved,Not Present (Historical Report),Not Native,,Vagrant,,
ACAD-1138,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna caspia,Caspian Tern,Approved,Not Confirmed,Not Native,,Migratory,,
ACAD-1139,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna dougallii,"Northern Roseate Tern, Roseate Tern",Approved,Not Confirmed,Native,,Resident,,
ACAD-1140,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna fuscata,"Eastern Sooty Tern, Sooty Tern",Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1141,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna hirundo,"Common Tern, Northern Common Tern",Approved,Present,Native,Common,Resident,Species of Concern,
ACAD-1142,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna maxima,Royal Tern,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1143,Acadia National Park,Bird,Charadriiformes,Laridae,Sterna paradisaea,Arctic Tern,Approved,Not Confirmed,Native,,Resident,,
ACAD-1144,Acadia National Park,Bird,Charadriiformes,Laridae,Xema sabini,"Northern Sabine's Gull, Sabine's Gull",Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1145,Acadia National Park,Bird,Charadriiformes,Recurvirostridae,Recurvirostra americana,"American Avocet, Avocet",Approved,Present,Not Native,Unknown,Vagrant,,
ACAD-1146,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Actitis macularia,Spotted Sandpiper,Approved,Present,Native,Common,,,
ACAD-1147,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Arenaria interpres,Ruddy Turnstone,Approved,Present,Native,Common,Migratory,,
ACAD-1148,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Bartramia longicauda,"Bartramian Sandpiper, Upland Plover, Upland Sandpiper",Approved,Present,Native,Rare,Migratory,Species of Concern,
ACAD-1149,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris alba,Sanderling,Approved,Not Confirmed,Native,,Migratory,,
ACAD-1150,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris alpina,"Dunlin, Red-Backed Dunlin, Red-Backed Sandpiper",Approved,Not Confirmed,Native,,Migratory,,
ACAD-1151,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris bairdii,Baird's Sandpiper,Approved,Not Present (Historical Report),Not Native,,Vagrant,,
ACAD-1152,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris canutus,"American Knot, Knot, Red Knot",Approved,Not Confirmed,Native,,Migratory,,
ACAD-1153,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris fuscicollis,White-Rumped Sandpiper,Approved,Present,Native,Uncommon,Migratory,,
ACAD-1154,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris himantopus,Stilt Sandpiper,Approved,Not Present (Historical Report),Not Native,,Vagrant,,
ACAD-1155,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris maritima,Purple Sandpiper,Approved,Present,Native,Common,Resident,,
ACAD-1156,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris mauri,Western Sandpiper,Approved,Not Confirmed,Not Native,,Vagrant,,
ACAD-1157,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris melanotos,Pectoral Sandpiper,Approved,Present,Native,Rare,Migratory,,
ACAD-1158,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris minutilla,Least Sandpiper,Approved,Present,Native,Common,Migratory,,
ACAD-1159,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Calidris pusilla,Semipalmated Sandpiper,Approved,Present,Native,Abundant,Migratory,,
ACAD-1160,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Catoptrophorus semipalmatus,"Eastern Willet, Willet",Approved,Not Confirmed,Native,,Migratory,,
ACAD-1161,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Gallinago gallinago,"Common Snipe, Wilson's Common Snipe, Wilson's Snipe",Approved,Present,Native,Rare,,,
ACAD-1162,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Limnodromus griseus,"Eastern Dowitcher, Short-Billed Dowitcher",Approved,Present,Native,Abundant,Migratory,,
ACAD-1163,Acadia National Park,Bird,Charadriiformes,Scolopacidae,Limnodromus scolopaceus,Long-Billed Dowitcher,Approved,Not Confirmed,Not Native,,Vagrant,,
